SYSTEM:Time(s)	SubMechanism.ibFlap/Flap:roll(deg)	SubMechanism.ibFlap/Flap:x(mm)	SubMechanism.ibFlap/Flap:y(mm)	SubMechanism.ibFlap/Flap:z(mm)
0	-0.582	24534.698	-3853.525	3190.255	
0.001	-0.582	24534.698	-3853.526	3190.256	
0.002	-0.582	24534.698	-3853.527	3190.257	
0.003	-0.582	24534.698	-3853.527	3190.257	
0.004	-0.582	24534.698	-3853.528	3190.258	
0.005	-0.582	24534.698	-3853.529	3190.259	
0.006	-0.582	24534.697	-3853.53	3190.259	
0.007	-0.582	24534.697	-3853.53	3190.26	
0.008	-0.582	24534.697	-3853.531	3190.26	
0.009	-0.582	24534.697	-3853.532	3190.261	
0.01	-0.582	24534.697	-3853.533	3190.261	
0.011	-0.582	24534.697	-3853.534	3190.262	
0.012	-0.582	24534.697	-3853.534	3190.263	
0.013	-0.582	24534.695	-3853.535	3190.263	
0.014	-0.582	24534.695	-3853.535	3190.264	
0.015	-0.582	24534.695	-3853.536	3190.264	
0.016	-0.582	24534.695	-3853.537	3190.265	
0.017	-0.582	24534.695	-3853.538	3190.265	
0.018	-0.582	24534.695	-3853.538	3190.266	
0.019	-0.582	24534.695	-3853.539	3190.266	
0.02	-0.582	24534.695	-3853.539	3190.267	
0.021	-0.582	24534.695	-3853.54	3190.267	
0.022	-0.582	24534.695	-3853.541	3190.268	
0.023	-0.582	24534.695	-3853.541	3190.268	
0.024	-0.582	24534.695	-3853.542	3190.269	
0.025	-0.582	24534.693	-3853.543	3190.269	
0.026	-0.582	24534.693	-3853.543	3190.27	
0.027	-0.582	24534.693	-3853.544	3190.27	
0.028	-0.582	24534.693	-3853.544	3190.271	
0.029	-0.582	24534.693	-3853.545	3190.271	
0.03	-0.582	24534.693	-3853.546	3190.271	
0.031	-0.582	24534.693	-3853.546	3190.272	
0.032	-0.582	24534.693	-3853.547	3190.272	
0.033	-0.582	24534.693	-3853.547	3190.273	
0.034	-0.581	24534.693	-3853.548	3190.273	
0.035	-0.581	24534.693	-3853.548	3190.274	
0.036	-0.581	24534.693	-3853.549	3190.274	
0.037	-0.581	24534.693	-3853.549	3190.274	
0.038	-0.581	24534.693	-3853.55	3190.275	
0.039	-0.581	24534.693	-3853.55	3190.275	
0.04	-0.581	24534.693	-3853.551	3190.276	
0.041	-0.581	24534.693	-3853.551	3190.276	
0.042	-0.581	24534.693	-3853.552	3190.276	
0.043	-0.581	24534.693	-3853.552	3190.277	
0.044	-0.581	24534.693	-3853.553	3190.277	
0.045	-0.581	24534.693	-3853.553	3190.277	
0.046	-0.581	24534.693	-3853.554	3190.278	
0.047	-0.581	24534.695	-3853.554	3190.278	
0.048	-0.581	24534.695	-3853.555	3190.279	
0.049	-0.581	24534.695	-3853.555	3190.279	
0.05	-0.581	24534.695	-3853.556	3190.279	
0.051	-0.581	24534.695	-3853.556	3190.279	
0.052	-0.581	24534.695	-3853.557	3190.28	
0.053	-0.581	24534.695	-3853.557	3190.28	
0.054	-0.581	24534.695	-3853.557	3190.28	
0.055	-0.581	24534.695	-3853.558	3190.281	
0.056	-0.581	24534.695	-3853.558	3190.281	
0.057	-0.581	24534.695	-3853.559	3190.281	
0.058	-0.581	24534.695	-3853.559	3190.282	
0.059	-0.581	24534.697	-3853.559	3190.282	
0.06	-0.581	24534.697	-3853.56	3190.282	
0.061	-0.581	24534.697	-3853.56	3190.283	
0.062	-0.581	24534.697	-3853.561	3190.283	
0.063	-0.581	24534.697	-3853.561	3190.283	
0.064	-0.581	24534.697	-3853.561	3190.283	
0.065	-0.581	24534.697	-3853.562	3190.284	
0.066	-0.581	24534.697	-3853.562	3190.284	
0.067	-0.581	24534.698	-3853.562	3190.284	
0.068	-0.581	24534.698	-3853.563	3190.284	
0.069	-0.581	24534.698	-3853.563	3190.284	
0.07	-0.581	24534.698	-3853.564	3190.285	
0.071	-0.581	24534.698	-3853.564	3190.285	
0.072	-0.581	24534.698	-3853.564	3190.285	
0.073	-0.581	24534.7	-3853.565	3190.285	
0.074	-0.581	24534.7	-3853.565	3190.286	
0.075	-0.581	24534.7	-3853.565	3190.286	
0.076	-0.58	24534.7	-3853.565	3190.286	
0.077	-0.58	24534.7	-3853.566	3190.286	
0.078	-0.58	24534.702	-3853.566	3190.287	
0.079	-0.58	24534.702	-3853.566	3190.287	
0.08	-0.58	24534.702	-3853.567	3190.287	
0.081	-0.58	24534.702	-3853.567	3190.287	
0.082	-0.58	24534.702	-3853.567	3190.287	
0.083	-0.58	24534.704	-3853.567	3190.288	
0.084	-0.58	24534.704	-3853.568	3190.288	
0.085	-0.58	24534.704	-3853.568	3190.288	
0.086	-0.58	24534.704	-3853.568	3190.288	
0.087	-0.58	24534.706	-3853.569	3190.288	
0.088	-0.58	24534.706	-3853.569	3190.289	
0.089	-0.58	24534.706	-3853.569	3190.289	
0.09	-0.58	24534.706	-3853.569	3190.289	
0.091	-0.58	24534.708	-3853.57	3190.289	
0.092	-0.58	24534.708	-3853.57	3190.289	
0.093	-0.58	24534.708	-3853.57	3190.289	
0.094	-0.58	24534.708	-3853.57	3190.289	
0.095	-0.58	24534.71	-3853.57	3190.289	
0.096	-0.58	24534.71	-3853.57	3190.289	
0.097	-0.58	24534.71	-3853.571	3190.29	
0.098	-0.58	24534.712	-3853.571	3190.29	
0.099	-0.58	24534.712	-3853.571	3190.29	
0.1	-0.58	24534.712	-3853.571	3190.29	
0.101	-0.58	24534.712	-3853.572	3190.29	
0.102	-0.58	24534.714	-3853.572	3190.29	
0.103	-0.58	24534.714	-3853.572	3190.29	
0.104	-0.58	24534.714	-3853.572	3190.29	
0.105	-0.58	24534.716	-3853.572	3190.291	
0.106	-0.58	24534.716	-3853.573	3190.291	
0.107	-0.579	24534.716	-3853.573	3190.291	
0.108	-0.579	24534.718	-3853.573	3190.291	
0.109	-0.579	24534.718	-3853.573	3190.291	
0.11	-0.579	24534.718	-3853.573	3190.291	
0.111	-0.579	24534.719	-3853.573	3190.291	
0.112	-0.579	24534.719	-3853.574	3190.291	
0.113	-0.579	24534.719	-3853.574	3190.291	
0.114	-0.579	24534.721	-3853.574	3190.291	
0.115	-0.579	24534.721	-3853.574	3190.291	
0.116	-0.579	24534.721	-3853.574	3190.292	
0.117	-0.579	24534.723	-3853.574	3190.292	
0.118	-0.579	24534.723	-3853.575	3190.292	
0.119	-0.579	24534.725	-3853.575	3190.292	
0.12	-0.579	24534.725	-3853.575	3190.292	
0.121	-0.579	24534.725	-3853.575	3190.292	
0.122	-0.579	24534.727	-3853.575	3190.292	
0.123	-0.579	24534.727	-3853.575	3190.292	
0.124	-0.579	24534.727	-3853.575	3190.292	
0.125	-0.579	24534.729	-3853.575	3190.292	
0.126	-0.579	24534.729	-3853.575	3190.292	
0.127	-0.579	24534.731	-3853.575	3190.292	
0.128	-0.579	24534.731	-3853.576	3190.292	
0.129	-0.579	24534.733	-3853.576	3190.292	
0.13	-0.579	24534.733	-3853.576	3190.292	
0.131	-0.578	24534.733	-3853.576	3190.292	
0.132	-0.578	24534.735	-3853.576	3190.292	
0.133	-0.578	24534.735	-3853.576	3190.292	
0.134	-0.578	24534.737	-3853.576	3190.292	
0.135	-0.578	24534.737	-3853.576	3190.292	
0.136	-0.578	24534.739	-3853.576	3190.292	
0.137	-0.578	24534.739	-3853.576	3190.292	
0.138	-0.578	24534.74	-3853.577	3190.292	
0.139	-0.578	24534.74	-3853.577	3190.292	
0.14	-0.578	24534.74	-3853.577	3190.292	
0.141	-0.578	24534.742	-3853.577	3190.292	
0.142	-0.578	24534.742	-3853.577	3190.292	
0.143	-0.578	24534.744	-3853.577	3190.292	
0.144	-0.578	24534.744	-3853.577	3190.292	
0.145	-0.578	24534.746	-3853.577	3190.292	
0.146	-0.578	24534.746	-3853.577	3190.292	
0.147	-0.578	24534.748	-3853.577	3190.292	
0.148	-0.578	24534.748	-3853.577	3190.292	
0.149	-0.578	24534.75	-3853.577	3190.292	
0.15	-0.578	24534.75	-3853.577	3190.292	
0.151	-0.578	24534.752	-3853.577	3190.292	
0.152	-0.577	24534.752	-3853.577	3190.292	
0.153	-0.577	24534.754	-3853.577	3190.292	
0.154	-0.577	24534.754	-3853.577	3190.292	
0.155	-0.577	24534.756	-3853.577	3190.292	
0.156	-0.577	24534.756	-3853.577	3190.292	
0.157	-0.577	24534.758	-3853.577	3190.292	
0.158	-0.577	24534.758	-3853.577	3190.292	
0.159	-0.577	24534.76	-3853.577	3190.292	
0.16	-0.577	24534.761	-3853.577	3190.291	
0.161	-0.577	24534.761	-3853.577	3190.291	
0.162	-0.577	24534.763	-3853.577	3190.291	
0.163	-0.577	24534.763	-3853.578	3190.291	
0.164	-0.577	24534.765	-3853.578	3190.291	
0.165	-0.577	24534.765	-3853.578	3190.291	
0.166	-0.577	24534.767	-3853.578	3190.291	
0.167	-0.577	24534.767	-3853.578	3190.291	
0.168	-0.577	24534.769	-3853.577	3190.291	
0.169	-0.577	24534.771	-3853.577	3190.291	
0.17	-0.577	24534.771	-3853.577	3190.291	
0.171	-0.576	24534.773	-3853.577	3190.291	
0.172	-0.576	24534.773	-3853.577	3190.291	
0.173	-0.576	24534.775	-3853.577	3190.29	
0.174	-0.576	24534.777	-3853.577	3190.29	
0.175	-0.576	24534.777	-3853.577	3190.29	
0.176	-0.576	24534.779	-3853.577	3190.29	
0.177	-0.576	24534.779	-3853.577	3190.29	
0.178	-0.576	24534.781	-3853.577	3190.29	
0.179	-0.576	24534.782	-3853.577	3190.29	
0.18	-0.576	24534.782	-3853.577	3190.29	
0.181	-0.576	24534.784	-3853.577	3190.29	
0.182	-0.576	24534.786	-3853.577	3190.289	
0.183	-0.576	24534.786	-3853.577	3190.289	
0.184	-0.576	24534.788	-3853.577	3190.289	
0.185	-0.576	24534.788	-3853.577	3190.289	
0.186	-0.576	24534.79	-3853.577	3190.289	
0.187	-0.576	24534.792	-3853.577	3190.289	
0.188	-0.575	24534.792	-3853.577	3190.289	
0.189	-0.575	24534.794	-3853.577	3190.289	
0.19	-0.575	24534.796	-3853.577	3190.289	
0.191	-0.575	24534.796	-3853.577	3190.289	
0.192	-0.575	24534.798	-3853.577	3190.288	
